timestamp,student_id,alert_type,state,attention_score,liveness_score,face_similarity,ear,mar,yaw,pitch,image_path
2026-05-28 10:36:36,202417140,Sustained Distraction,DISTRACTED,63.42,1.000,0.993,0.2124,0.4470,-22.30,-175.91,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\sustained_distraction_20260528_103636.jpg
2026-05-28 10:36:37,202417140,Attention Score Warning,DISTRACTED,59.97,1.000,1.000,0.2691,0.3527,-2.52,-175.80,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\attention_score_warning_20260528_103637.jpg
2026-05-28 10:36:38,202417140,Rapid Attention Drop,DISTRACTED,59.64,1.000,1.000,0.2687,0.3430,3.28,-175.12,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\rapid_attention_drop_20260528_103637.jpg
2026-05-28 10:36:40,202417140,Frequent Distraction,DISTRACTED,55.40,1.000,0.999,0.1905,0.4735,14.40,-177.64,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\frequent_distraction_20260528_103640.jpg
2026-05-28 10:36:42,202417140,Attention Score Warning,DISTRACTED,51.21,1.000,0.998,0.2210,0.4530,17.44,-176.41,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\attention_score_warning_20260528_103642.jpg
2026-05-28 10:36:43,202417140,Rapid Attention Drop,DISTRACTED,50.88,1.000,0.999,0.1618,0.4282,7.78,-173.72,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\rapid_attention_drop_20260528_103643.jpg
2026-05-28 10:36:45,202417140,Frequent Distraction,DISTRACTED,46.07,1.000,0.999,0.2431,0.4388,6.67,-177.17,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\frequent_distraction_20260528_103645.jpg
2026-05-28 10:40:46,202417140,Frequent Distraction,DISTRACTED,98.65,0.500,0.999,0.2505,0.3461,-4.54,-173.74,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\frequent_distraction_20260528_104046.jpg
2026-05-28 10:40:51,202417140,Frequent Distraction,DISTRACTED,92.60,1.000,0.999,0.2602,0.3857,-9.14,-175.75,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\frequent_distraction_20260528_104051.jpg
2026-05-28 11:25:39,202417140,Multiple Faces Detected,OK,100.00,0.500,0.999,0.2072,0.4339,22.38,-172.95,C:\Users\PC\Documents\AI-Project-Group8\AI-PROJECT\evidence\images\multiple_faces_detected_20260528_112539.jpg
